# Functional connectivity based on experimental fMRI data described in Babapoor-Farrokhran S, Hutchison RM, Gati JS, Menon RS, Everling S Functional connectivity patterns of medial and lateral macaque frontal eye fields reveal distinct visuomotor networks. J Neurophysiol. 2013;109(10):2560–2570.
# See Materials & Methods of Schmidt et al. (2018) for details

1	10	11	12	13	14	2	23	24	25	29	30	32	35	36	3a	3b	4	45	46	5	6	7a	7b	9	A1	AITd	AITv	A2	CA1	CA3	CITd	CITv	CM	DP	ER	FEF	FST	G	Id	Ig	L	LIP	MDP	MIP	MSTd	MSTl	MT	PA	PAC	PaS	PIP	PIR	PITd	PITv	PO	Pro	PrS	PSd	Ri	RL	S	SII	SMA	STPa	STPp	TF	TH	V1	V2	V3	V3A	V4	V4t	VIP	VOT	VP	1	10	11	12	13	14	2	23	24	25	29	30	32	35	36	3a	3b	4	45	46	5	6	7a	7b	9	A1	AITd	AITv	A2	CA1	CA3	CITd	CITv	CM	DP	ER	FEF	FST	G	Id	Ig	L	LIP	MDP	MIP	MSTd	MSTl	MT	PA	PAC	PaS	PIP	PIR	PITd	PITv	PO	Pro	PrS	PSd	Ri	RL	S	SII	SMA	STPa	STPp	TF	TH	V1	V2	V3	V3A	V4	V4t	VIP	VOT	VP
0	-0.3379763477	-0.1552686425	-0.16132047	-0.2548129854	-0.2826059547	0.8685900427	0.1959919993	0.1021967438	-0.2593513318	-0.2645211577	-0.1955576714	-0.2099480932	-0.2606676383	-0.3691316796	0.5594403435	0.8423582536	0.6829966085	-0.1450476593	-0.2296487057	0.3950127874	0.0496067683	0.1849836705	0.5876417277	-0.3089607966	0.083064785	-0.3349167397	-0.2078489993	0.3241062023	-0.2223273613	-0.1804422675	-0.3456198689	-0.2350303681	0.1969464543	-0.1786075756	-0.2432025781	-0.1019343574	-0.3568239473	0.1492158417	0.0928688977	0.0281212181	0.0246405005	0.3340978954	0.0761384562	0.0085018857	-0.1106792559	-0.3828659512	-0.3189781024	0.0700495108	-0.0927514109	-0.2350278443	0.0039539575	-0.0774132891	-0.4686231718	-0.2775817396	-0.1085716818	-0.0772017753	-0.1735198946	-0.1064666905	0.1204152006	-0.1249832985	-0.2447324562	0.2947839414	0.296618212	-0.2958642774	-0.1720439008	-0.2611498797	-0.1068622445	-0.1502799703	-0.1720179686	-0.2224746801	-0.2125713493	-0.2085924654	-0.3010902219	0.3053309613	-0.3192298393	-0.2462383286	0.4769818671	-0.3154101547	-0.1329999678	-0.2091372796	-0.2301363512	-0.2339762682	0.4692408736	0.1732323514	0.1989725027	-0.2352136581	-0.2249065663	-0.2588393808	-0.2088247624	-0.2354427476	-0.3454600873	0.415476237	0.4012587123	0.2609056339	-0.0782903005	-0.3026087659	0.3763003218	-0.2006446556	0.1162388117	0.3018071932	-0.3689537972	0.2796124399	-0.2760962853	-0.1488024102	0.2896658035	-0.2144184002	-0.2170928726	-0.2951025851	-0.2185111424	0.3226506683	-0.1490763497	-0.2341156064	-0.2957538625	-0.2898291743	0.1733007704	0.2182241108	0.1671137072	-0.0273153226	0.1102684333	0.0750362571	0.0408237994	0.1221802631	-0.1791448948	-0.2108088428	0.2688032685	-0.1090513693	-0.2339317325	0.060801437	-0.0496507612	-0.3311718874	-0.2914353883	-0.0437538688	-0.1280473274	-0.1494724772	-0.0586024326	0.2480507024	-0.0950227601	-0.1803740438	0.3321980339	0.2187003567	-0.4055568307	-0.009833349	-0.3109546947	-0.090353566	-0.1504736881	-0.2126853948	-0.0910546507	-0.0256567338	-0.1902537943	-0.1739305205	0.0963781628	-0.3414728873	-0.1337438654
-0.3379763477	0	0.3493457053	0.4233394674	0.3208281869	0.6673475718	-0.3507945159	-0.2769103855	0.0677683803	0.3819122547	0.2873941562	0.0454447421	0.5061284628	0.2958665462	0.3675717339	-0.2602097532	-0.3286213357	-0.3477724975	0.3444667442	0.455007557	-0.3330020595	0.0067102015	-0.2378431049	-0.309686756	0.5025625959	-0.0748555832	0.2868654105	0.2285040528	-0.1063954014	0.2468142487	0.2337098186	0.2878157872	0.2323461261	-0.1664493767	-0.0284659421	0.2609477035	0.2358254667	0.3560146761	-0.063311372	-0.0217572423	0.0675723908	0.0082110015	-0.2379755788	-0.3324267943	-0.2185556027	-0.0238127907	0.2787259325	0.182119599	-0.0477666035	0.1710756331	0.1798534777	-0.1621893162	0.1325101447	0.3060534053	0.1286122238	-0.1172142382	0.0503667939	0.1732329942	0.1525392176	-0.0654612923	0.1340703662	0.2077835759	-0.1522501887	-0.3156804802	0.4107309228	0.1991391832	0.1411247363	0.1889825114	-0.0380097987	0.028170433	-0.0165313282	-0.0728741733	0.011616768	0.2136639789	-0.1720416875	0.1272856644	0.1257574956	-0.2808114929	0.6095323854	0.2824234858	0.3629349393	0.3666588709	0.3879361357	-0.2391417226	-0.1547915927	-0.0410191974	0.3769262814	0.235051211	0.1940288747	0.4755862955	0.2005923233	0.290144908	-0.2101727737	-0.2987160749	-0.3083717708	0.2202530676	0.4952633805	-0.3160280433	0.1890887841	-0.3209533094	-0.2174023618	0.3657363034	-0.1533707331	0.1645738506	0.0306132299	-0.1228165118	0.1558358458	0.1581352249	0.2081377655	-0.0078956904	-0.1819748358	-0.1281336878	0.2382310886	0.2016770985	0.2652950176	-0.0158745129	-0.0713075491	-0.0511924592	0.0529511139	-0.2663764995	-0.2984318064	-0.2023795455	-0.1871448137	0.1294410257	0.0646029124	-0.1391235879	0.1777844064	0.0898142497	-0.2129409951	0.1435152806	0.2159592929	0.0066539742	-0.1482814903	0.2279299323	0.1822229697	0.1366520553	-0.1062591807	0.0802182667	0.1536512059	-0.130179852	-0.3622500681	0.3661138217	-0.0393134604	0.0398495835	0.1243638673	-0.1372908746	-0.1023420112	-0.1242108217	-0.1920954838	-0.0624667029	0.0918693725	-0.2037599215	0.0240072333	-0.0152942648
-0.1552686425	0.3493457053	0	0.4455944206	0.4713352457	0.2602100379	-0.1587767833	-0.1573484699	0.0274556719	0.2402385352	0.0587621455	-0.028982782	0.0932265918	0.2355014836	0.269037381	-0.0052837219	-0.1177340408	-0.1692947042	0.2732558849	0.2451619848	-0.1950949572	0.0942052939	-0.1156767865	-0.0519955284	0.1987422233	-0.0859497641	0.2155098038	0.1353543266	0.1375130821	0.1507466685	0.1274637148	0.1527861012	0.0390164179	-0.0615838314	-0.1428474709	0.2842127127	0.1934576231	0.13223762	0.2091005929	0.2154833366	0.1175840306	0.1166600028	-0.1553467602	-0.1796650504	-0.1891779759	-0.0801348165	0.0529353349	-0.0254999664	0.0226250415	0.2123810563	0.0736598583	-0.0777959378	0.2280589149	0.0961271077	0.1250813247	-0.138994062	0.265044278	0.0892003305	0.0398482612	-0.0656069219	0.1184871221	0.1091031498	0.0887493584	-0.1996906635	0.2190784603	0.1067058991	0.0334054907	0.0594724825	-0.103206746	-0.0890121598	-0.0834136279	-0.192995884	-0.0632184303	0.0233044498	-0.1004381964	0.0514542847	-0.0163211213	-0.1108907395	0.3581323121	0.319725847	0.1988396897	0.3457158471	0.3358433348	-0.0825596432	-0.1742841345	-0.0017002947	0.3052142915	0.0456037703	-0.042645662	0.2285071257	0.0830800876	0.1148270279	0.0276855025	-0.0017276721	-0.1229533962	0.26217136	0.2267106025	-0.2145462193	0.0484111118	-0.1210557827	0.013657229	0.1759889007	-0.0753607249	0.0422069885	-0.0035143995	0.1506389294	0.0209140522	0.0857900782	0.0448825562	-0.0621962832	-0.0158364088	-0.1692283297	0.109019397	0.1327401738	0.1004712342	0.1560336608	0.1545372043	0.1646202879	0.1046055949	-0.1079957134	-0.2739090961	-0.1679472203	-0.1414635837	0.0456148339	-0.0129470132	0.0464413338	0.0692802537	-0.0580443968	-0.1548816754	0.0497869308	0.0470785692	-0.0110596783	-0.1441625571	0.1264942075	0.037515814	0.0581458071	-0.0683789527	0.0772240323	0.0463250629	0.1326888887	-0.192593981	0.1132548819	0.034515445	-0.1019016433	-0.0361489676	-0.1195097922	-0.0715121248	-0.1977008787	-0.1725913842	-0.0876969472	-0.0433997793	-0.1409126515	-0.0084196587	-0.0036752802
-0.16132047	0.4233394674	0.4455944206	0	0.3518900163	0.2612761045	-0.1632218115	-0.1738264294	0.0141973681	0.2213437604	0.0137600048	-0.0745024868	0.2098484087	0.3059278364	0.308356386	-0.1002501478	-0.1262824314	-0.1768101974	0.4059539284	0.3637919888	-0.2449741624	0.1039818297	-0.1391569411	-0.1158934679	0.3164012962	-0.0309581245	0.2453137478	0.1224340132	-0.028953383	0.1848013377	0.1447655312	0.1181079187	0.1332153527	-0.1011136043	-0.1267092914	0.2213867166	0.1698574191	0.0942140045	0.1244910637	0.1145013414	0.0780186832	0.0253948507	-0.1613601084	-0.2263175135	-0.1783414376	-0.0314205759	0.0856604881	0.004518931	-0.0181772134	0.1266794332	0.130425749	-0.162030123	0.0941140287	0.1059525815	0.1839963235	-0.1397086995	0.2047399558	0.1146631291	0.0453079756	-0.029514166	0.0919997166	0.1531686395	0.0443140546	-0.1203332971	0.1782017332	0.0331830587	0.0377865439	0.0304535109	-0.1009755508	-0.0743671534	-0.135217925	-0.1394306069	-0.0518933407	0.031229295	-0.1793795982	0.0604632862	0.0823437578	-0.0493410384	0.3102143862	0.1472038091	0.2553006778	0.2620451842	0.2066878085	-0.0273263707	-0.0860123626	-0.0377877481	0.2036510004	-0.0378901904	-0.0382933642	0.1770509203	0.0829380164	0.1597083999	0.0410374244	0.0221974491	-0.0625046711	0.2520568985	0.2809380976	-0.1042226285	0.1522428579	-0.0662586981	0.0686512133	0.2378282589	-0.0810516249	0.0854285509	0.0532508729	0.0107323649	0.0441236009	0.1324742286	0.0043768642	0.0265883997	-0.0373973809	-0.1246810133	0.1491145523	0.2229313881	0.0123524909	0.1490205505	0.1351225689	0.0830547693	0.0417459379	-0.0706927343	-0.2072323628	-0.1977353001	-0.1750481843	-0.0458303339	-0.0696105521	-0.013637833	0.1186929466	-0.0109319183	-0.1810258749	0.0869732523	-0.0244910017	-0.0103877107	-0.2331525206	0.1933949424	-0.0021069187	-0.0349424037	0.0101160364	0.0424033194	0.0563834211	0.1210726769	-0.1587423615	0.1571972319	-0.1333041711	-0.0364270427	-0.1203333299	-0.1936055502	-0.169553808	-0.1951477239	-0.2377898486	-0.1945100894	-0.0888693746	-0.0832559887	-0.0076890159	-0.1034923743
-0.2548129854	0.3208281869	0.4713352457	0.3518900163	0	0.3464652813	-0.2143040491	-0.1633469724	0.1365067162	0.4356669599	-0.0108676086	-0.0689198414	0.1780708572	0.33953506	0.3013962341	-0.0853016361	-0.1716756661	-0.1842350824	0.2555607853	0.2123515147	-0.2301631623	0.0970540854	-0.2121006969	-0.1380395976	0.3160247514	0.0159732067	0.2266262731	0.0724938173	0.0702581394	0.1684899898	0.1057246948	0.0594879005	0.0555558822	-0.0088414426	-0.2310236202	0.3102295878	0.0805947584	0.0391217522	0.1118224512	0.1249641513	0.1728635794	0.147087618	-0.1846629216	-0.239348378	-0.2199678887	-0.003035639	0.0424610304	-0.0217575419	0.0882106731	0.1559760861	0.1577112857	-0.1129789841	0.190783449	0.0737198916	0.1830374785	-0.1762394508	0.4966092808	0.1149354695	0.0127805368	-0.0003211551	0.1645684611	0.169891384	0.0375443489	-0.0224779689	0.1204910255	0.0453039987	0.0912344491	0.0424391709	-0.2216456526	-0.2196708649	-0.1490600899	-0.1543852448	-0.1664124737	0.0094084912	-0.1666383825	0.0678221667	-0.0173183312	-0.076820278	0.3250100871	0.2783821735	0.168695469	0.4909983596	0.3283832156	-0.0981525135	-0.1411803604	0.0803360739	0.3480436843	-0.0798104937	-0.1101130896	0.2037006917	0.1739692713	0.2210222134	0.0313643303	0.0020045409	-0.0780867437	0.1662844226	0.2439911428	-0.1307015532	0.1112708096	-0.1073582071	0.055672352	0.2980332148	-0.0023016319	0.1050737518	0.0863275504	0.0360048745	0.0686907589	0.1408572873	0.013771345	0.0224307553	0.0121493764	-0.2105652594	0.196778254	0.1140553304	0.0124264099	0.0748920925	0.0845410008	0.1533457966	0.1457138514	-0.044173824	-0.2457524063	-0.2167318764	-0.1315732465	-0.0505215324	-0.0988367477	0.0813142631	0.1475343606	0.0660880266	-0.2243988442	0.1329694257	-0.1158103144	-0.0184855331	-0.2302322899	0.3770500238	0.0655381975	-0.0621019949	0.0249341104	0.207996278	0.1018380711	0.0742391385	-0.0456639616	0.1696321922	-0.064539309	-0.014772895	-0.1772283138	-0.294187178	-0.2874482271	-0.2232511288	-0.2041797288	-0.3063062882	-0.1058700732	-0.1064835673	-0.0142410603	-0.1143912186
-0.2826059547	0.6673475718	0.2602100379	0.2612761045	0.3464652813	0	-0.2742050507	-0.2932426421	-0.0064432866	0.4136741275	0.1970180055	-0.0005689757	0.5232878634	0.2100561784	0.286700823	-0.2865085014	-0.2810448116	-0.3012196799	0.2717159796	0.218474887	-0.2922832533	-0.0547836589	-0.1996942149	-0.2503190946	0.3829880819	-0.0414930489	0.1849282885	0.1916099599	-0.0353975134	0.2217837687	0.2381080699	0.2226553188	0.211510488	-0.0813539444	-0.025022972	0.1299766336	0.0824788512	0.2353496623	-0.0608174998	-0.0352286723	0.0699439767	0.0501243419	-0.1930176087	-0.3079565765	-0.1853361921	-0.0035748652	0.209649022	0.1396405199	-0.0470817183	0.1440853315	0.1621262434	-0.1288921047	0.0546595145	0.2705463289	0.0948786993	-0.1159099336	0.0067130631	0.1680980853	0.1869266129	-0.0540877903	0.1172671053	0.1990057634	-0.1310950919	-0.2523468565	0.2948944591	0.1811667505	0.1550583076	0.1933783713	0.0455510168	0.0857543418	-0.0025048746	-0.0156419685	0.0107825488	0.1609788363	-0.1667435756	0.1196620057	0.1084264301	-0.2497154868	0.4064960204	0.3608336979	0.3149127807	0.4050453236	0.3116730567	-0.2176191249	-0.1624160454	-0.0977339713	0.3553492939	0.1645160173	0.1326161388	0.3684909251	0.233648904	0.2729278687	-0.2079319143	-0.280078059	-0.2659203352	0.1057724415	0.3719202294	-0.2720358315	0.142733126	-0.2806971815	-0.1780553845	0.2312964951	-0.1274756838	0.1387756299	0.0285099524	-0.1289511283	0.1344435227	0.1357546549	0.1920985582	0.0387306276	-0.1824562161	-0.1768628736	0.3030415785	0.0823055278	0.233109125	-0.01379535	-0.0471498952	0.0292321861	0.1054420215	-0.2320027263	-0.2215599023	-0.1867308693	-0.167112779	0.0997900096	0.0139698908	-0.0623013106	0.2514932541	0.11303965	-0.1541856711	0.2019012392	0.1363502405	0.0167864224	-0.1078887597	0.3216965593	0.197738743	0.1389698123	-0.1576097837	0.166849393	0.1680043439	-0.1799271672	-0.2647276007	0.3065087629	-0.0353920545	0.070014094	0.1309191596	-0.077145767	-0.081850856	-0.1098252687	-0.1952818199	-0.1020373113	0.0758047358	-0.184654151	0.0545982888	0.0306183823
0.8685900427	-0.3507945159	-0.1587767833	-0.1632218115	-0.2143040491	-0.2742050507	0	0.2419082979	0.1375092298	-0.2428690065	-0.2995604317	-0.2029970052	-0.2427392367	-0.2477719041	-0.321824941	0.5079591585	0.7343093352	0.6024048964	-0.1353845957	-0.2244341937	0.4801474714	0.0934691971	0.2523466738	0.6837786002	-0.2896437505	0.1535169837	-0.267819418	-0.1465868234	0.3756148702	-0.1708944144	-0.1429242231	-0.2984068399	-0.1650358647	0.2570703774	-0.1804152801	-0.2186612751	-0.0673179731	-0.3306526686	0.1131910115	0.070124161	0.0761685543	0.0876120156	0.392810667	0.0931707494	0.0235623345	-0.0262114766	-0.3592827326	-0.3007588034	0.1215471417	-0.0915172006	-0.2008755717	0.0083556315	-0.0810570326	-0.4297868981	-0.2017390821	-0.1173691861	-0.0314154251	-0.1534877874	-0.1205711004	0.1756061981	-0.0532269956	-0.2121837337	0.3163057656	0.3404978816	-0.2668291196	-0.1212148139	-0.2242145824	-0.1211296219	-0.13703463	-0.1891346805	-0.2349601451	-0.2032163017	-0.1685552385	-0.2937822602	0.3233931522	-0.2675021939	-0.2137434907	0.4396753169	-0.3646805512	-0.1245269649	-0.2003677501	-0.2278584018	-0.2528620238	0.4844375488	0.212524047	0.1799484298	-0.2458944407	-0.2620232099	-0.2751315412	-0.2710374401	-0.1951008009	-0.302407425	0.3563683134	0.357831514	0.2606877849	-0.0708378933	-0.2695732192	0.4243073969	-0.174221859	0.1946652367	0.3705290425	-0.3722929442	0.3125752183	-0.2501033729	-0.120173489	0.2756818997	-0.2334898076	-0.2181306692	-0.272086955	-0.1937055505	0.3354521153	-0.1737212554	-0.219577759	-0.2391685554	-0.2936547	0.1388000532	0.1951318042	0.1733200772	-0.0130373063	0.1715261256	0.0990756008	0.0232361193	0.1486485457	-0.184657177	-0.2041469252	0.2893805456	-0.1267535328	-0.2143432172	0.0337090958	-0.0480152982	-0.3167050833	-0.2816587974	-0.0705568789	-0.1025319084	-0.1464788295	-0.0701797232	0.2876246859	-0.0582914044	-0.1751249397	0.3046281106	0.2544391743	-0.3992979998	0.0008631583	-0.3142775271	-0.1286673466	-0.1859195274	-0.2454996855	-0.144354551	-0.0667741987	-0.1650055988	-0.1548130619	0.1256974127	-0.3019795238	-0.1554514755
0.1959919993	-0.2769103855	-0.1573484699	-0.1738264294	-0.1633469724	-0.2932426421	0.2419082979	0	0.4566760326	-0.2787822338	0.0324292953	0.3512419827	-0.3158077962	-0.1128385795	-0.1401647897	0.2649655215	0.167295952	0.3276830206	-0.1887704779	0.0943363215	0.614644174	0.2007330798	0.3569733478	0.2072533164	-0.0512335902	0.1460730155	-0.1059699149	-0.0437799501	0.0187431133	-0.124404611	-0.1576983706	-0.1275491202	-0.131671291	0.1391004506	0.2154222342	-0.0459029463	0.0355352522	-0.1120978428	-0.1379548625	-0.0735342977	-0.0157907647	-0.0281218257	0.3283819966	0.5774001575	0.280384443	0.2069766179	-0.0698849066	0.0515975837	0.1097871936	-0.2263811473	-0.0356120829	0.184603565	-0.053862413	-0.0939333317	-0.0640865606	0.2649992372	-0.0386056076	-0.054885367	-0.1042131875	0.0766210174	-0.0659162436	-0.1229107823	0.0003581824	0.4976606481	-0.1380452523	0.0437994795	0.0378919091	-0.0318398286	-0.1634278614	-0.0738252802	-0.0138194418	0.1378161854	0.1345604951	0.0101495888	0.3085542859	-0.1751873177	-0.110601769	0.0860832198	-0.1629672179	-0.2249435933	-0.2303235413	-0.2667962275	-0.1333345997	0.053789452	0.5078455471	0.2278760263	-0.2100308276	-0.0197979209	0.1418707836	-0.2297837685	-0.2059712611	-0.2022586348	-0.0126742687	0.0138813863	0.0794855199	-0.1464406566	-0.0330903907	0.3395924537	0.0195021578	0.3467581033	-0.0119661448	-0.0553950434	0.1666005091	-0.1664523766	-0.0493541764	-0.1196457988	-0.1820619635	-0.2061085018	-0.0964123772	-0.1212353365	0.116577588	0.2481816864	-0.2254070016	0.0084062261	-0.0964931533	-0.2593129959	-0.2086826085	-0.2216951559	-0.1400163918	0.261195224	0.4611911356	0.2577258744	0.3186555698	0.0026771132	0.1245579426	-0.0024325064	-0.2844624076	-0.0832470366	0.1005484961	-0.210708458	-0.0578448073	-0.1422582884	0.1520475157	-0.2853454512	-0.1214576237	-0.0670228471	0.1741301108	-0.1780854943	-0.1709292972	-0.1089959774	0.3391032209	-0.2292157897	-0.0220101128	-0.1108901399	-0.0186582868	-0.077474253	0.0315513244	0.0403664564	0.2239318989	0.0711050607	0.1036933187	0.2986830939	-0.1844303136	-0.1108201215
0.1021967438	0.0677683803	0.0274556719	0.0141973681	0.1365067162	-0.0064432866	0.1375092298	0.4566760326	0	-0.0424919025	-0.0809255128	0.0830946058	-0.1216436606	-0.0085276634	-0.0275792126	0.2126793687	0.113011406	0.2773248709	0.0116684104	0.1606673204	0.2935150244	0.3039086428	0.1589771678	0.1596078719	0.3175424701	0.2506435848	-0.0337976954	-0.0009896353	0.1830509514	-0.0609415576	-0.1090669178	-0.083558485	-0.0262041177	0.265153628	-0.0581673303	0.0395373387	0.0323896533	-0.0542377741	-0.1010476846	-0.0047691336	0.1783690509	0.1870422466	0.116442721	0.1355850708	-0.0252332883	0.1971503279	-0.0812920669	-0.0519051161	0.2247198162	-0.1391622384	0.0175886192	0.0078027461	0.04657102	-0.1046461618	-0.0750451182	-0.0161216632	0.1216415515	-0.0925979402	-0.1277960526	0.1378976589	0.1513430791	-0.0898957858	0.1028138078	0.6313433259	-0.0082625334	0.0895362231	0.0259840424	-0.0776512824	-0.3230880838	-0.3091069678	-0.1888799781	-0.0106090888	-0.0058601761	-0.0550712404	0.1303830367	-0.1689047312	-0.1763873159	-0.000909481	0.0177232821	-0.0686852956	-0.0762454441	0.0427594783	-0.0440409311	0.0128557043	0.3323929587	0.5778396762	0.0102731915	-0.1315029237	-0.0187299305	-0.0689977924	-0.0568304625	-0.08555733	-0.0141414752	-0.0785390152	0.0103889051	-0.0995512953	0.1326854036	0.1156098631	0.1327701862	0.167656265	0.0276464605	0.1928976032	0.3489512345	-0.1605220068	-0.0803435625	0.0355750581	-0.1631289482	-0.1403513909	-0.1154909889	-0.1980925758	0.2684554331	-0.050623906	-0.1188502068	-0.0215234532	-0.0573772586	-0.1348240313	-0.0721969704	0.0493832325	0.0555380329	0.0810223969	0.092723072	-0.0465383511	0.1731915242	-0.0654276771	-0.0228380981	0.2612566348	-0.1553178058	-0.0815091081	-0.1295823119	-0.0195986995	-0.152118145	-0.2480248497	-0.0763446306	0.024719912	-0.0858061474	-0.1171947641	0.2295857593	0.0543846369	-0.1424162964	0.0686103584	0.3593042148	-0.107712137	-0.0081518633	-0.2081038969	-0.1218082784	-0.3523063383	-0.3470231647	-0.1922899516	-0.0391077076	-0.1738482129	-0.0104497885	0.0942190612	-0.291099028	-0.2775861914
-0.2593513318	0.3819122547	0.2402385352	0.2213437604	0.4356669599	0.4136741275	-0.2428690065	-0.2787822338	-0.0424919025	0	0.0046751472	-0.1083536287	0.4936008515	0.2099789824	0.3005973308	-0.1861005428	-0.2783616174	-0.3579889648	0.1072528191	0.0612680889	-0.3236313996	-0.1052510542	-0.3081852184	-0.2693392202	0.2829957158	0.0348601016	0.2150996127	0.2055384367	-0.0851011244	0.321374133	0.2623437904	0.1662683297	0.1652248538	-0.0182128112	-0.1797323688	0.280885615	-0.0474453212	0.1063854874	-0.0283831157	0.0374891535	0.1435342988	0.0957273664	-0.3193402407	-0.3043979977	-0.2954722159	-0.1452703352	0.0860136305	-0.0548032995	0.0889729576	0.2480790325	0.199203052	-0.2565921265	0.212440438	0.0998991484	0.1360406344	-0.1697415048	0.2398353655	0.2483733659	0.1251258045	0.0007987789	0.1514559483	0.3306328558	-0.0675012873	-0.2080127627	0.2530123296	0.0472921521	0.1230311777	0.1279766401	0.0420401954	0.0314345181	-0.1015396567	-0.1888425779	-0.0785059583	-0.0037551436	-0.3251666787	0.1106829174	0.0093654981	-0.1082022487	0.3741108279	0.2868111359	0.2477406335	0.3475413119	0.358335234	-0.1019523245	-0.2077760004	0.0566780678	0.6049748247	-0.0096422375	-0.1104479262	0.4165229888	0.0714498592	0.1726595964	-0.1090669316	-0.1095009062	-0.1997450697	0.0589661791	0.1296814545	-0.2463577739	-0.037138837	-0.2206403398	-0.0227651277	0.2637483226	0.0295330344	0.1201791702	0.0905617563	-0.1112683411	0.2207908064	0.2744147749	0.0438894596	0.0486751576	0.0029697774	-0.1610986154	0.2378665549	-0.0135454639	0.1328837948	-0.0548590922	-0.0509550041	0.0245138307	0.1376915712	-0.1793359925	-0.3493515067	-0.2917788991	-0.1121235065	0.0623580649	-0.0611186762	-0.0135047463	0.25868885	0.1493453895	-0.2929902712	-0.0072728946	-0.0083795162	0.1225702161	-0.2341831825	0.2962466221	0.2012732753	0.0645937068	0.006378988	0.127437366	0.2668413247	-0.0883317495	-0.1977247123	0.1946768172	-0.0585022522	0.118104795	0.0395454294	-0.0476152792	-0.0620189147	-0.1995318462	-0.216213073	-0.1441242407	-0.0836789839	-0.2546379127	0.0796089482	0.0145133077
