# Taken from Binzegger, T., Douglas, R. J., & Martin, K. a C. (2004). A quantitative map of the circuit of cat primary visual cortex. The Journal of Neuroscience : The Official Journal of the Society for Neuroscience, 24(39), 8441–53. https://doi.org/10.1523/JNEUROSCI.1400-04.2004. The full table of data is also available in Izhikevich, E. M., & Edelman, G. M. (2008). Large-scale model of mammalian thalamocortical systems. Proceedings of the National Academy of Sciences of the United States of America, 105(9), 3593–8. https://doi.org/10.1073/pnas.0712231105.
																										
		percent of cells (respect to total area)	number of synapses per neuron	nb1	p2/3	b2/3	nb2/3	ss4(L4)	ss4(L2/3)	p4	b4	nb4	p5(L2/3)	p5(L5/6)	b5	nb5	p6(L4)	p6(L5/6)	b6	nb6	corticocortical	TCs	TCn	TIs	TIn	TRN
nb1		1.5	8890	10.1	6.3	0.6	1.1	0	0	0.1	0	0	0.1	0	0	0	0	0	0	0	77.6	0	4.1			
p2/3	L2/3	26	5800	0	59.9	9.1	4.4	0.6	6.9	7.7	0	0.8	7.4	0	0	0	2.3	0	0	0.8	0	0	0			
p2/3	L1		1306	10.2	6.3	0.1	1.1	0	0	0.1	0	0	0.1	0	0	0	0	0	0	0	78	0	4.1			
b2/3		3.1	3854	1.3	51.6	10.6	3.4	0.5	5.8	6.6	0	0.8	6.3	0	0	0	2.1	0	0	0.7	9.8	0	0.5			
nb2/3		4.2	3307	1.7	48.6	11.4	3.3	0.5	5.5	6.2	0	0.8	5.9	0	0	0	1.8	0	0	0.6	13	0	0.7			
ss4(L4)		9.2	5792	0	2.7	0.2	0.6	11.9	3.7	4.1	7.1	2	0.8	0.1	0	0	32.7	0	0	5.8	25.3	1.7	1.3			
ss4(L2/3)		9.2	4989	0	5.6	0.4	0.8	11.3	3.8	4.3	7.2	2.1	1.1	0.1	0	0	31.1	0	0	5.5	23.9	1.7	1.3			
p4	L4	9.2	5031	0	4.3	0.2	0.6	11.5	3.6	4.2	7.2	2.1	1.2	0.1	0	0	31.4	0.1	0	5.9	24.5	1.7	1.3			
p4	L2/3		866	0	63.1	5.1	4.1	0.6	7.2	8.1	0	0.6	7.8	0	0	0	2.5	0	0	0.8	0	0	0			
p4	L1		806	10.2	6.3	0.1	1.1	0	0	0.1	0	0	0.1	0	0	0	0	0	0	0	78	0	4.1			
b4		5.4	3230	0	5.8	0.5	0.8	11	3.8	4.2	8.4	2.4	1.1	0	0	0	30.3	0	0	5.4	23.3	1.6	1.2			
nb4		1.5	3688	0	2.7	0.2	0.6	11.7	3.6	4	8.2	2.3	0.8	0.1	0	0	32.2	0	0	5.7	24.9	1.7	1.3			
p5(L2/3)	L5	4.8	4316	0	45.9	1.8	0.3	3.3	2	7.5	0	0.9	11.7	1	0.8	1.1	2.3	2.1	0	11.5	7.2	0.1	0.4			
p5(L2/3)	L4		283	0	2.8	0.1	0.7	12.2	3.8	4.2	5.2	1.5	0.8	0.1	0	0	33.7	0	0	5.9	26	1.8	1.4			
p5(L2/3)	L2/3		412	0	63.1	5.1	4.1	0.6	7.2	8.1	0	0.6	7.8	0	0	0	2.5	0	0	0.8	0	0	0			
p5(L2/3)	L1		185	10.2	6.3	0.1	1.1	0	0	0.1	0	0	0.1	0	0	0	0	0	0	0	78	0	4.1			
p5(L5/6)	L5	1.3	5101	0	44.3	1.7	0.2	3.2	2	7.3	0	0.8	11.3	1.2	0.8	1.1	2.3	2.5	0.3	11.3	9.2	0.2	0.5			
p5(L5/6)	L4		949	0	2.8	0.1	0.7	12.2	3.8	4.2	5.2	1.5	0.8	0.1	0	0	33.7	0	0	5.9	26	1.8	1.4			
p5(L5/6)	L2/3		1367	0	63.1	5.1	4.1	0.6	7.2	8.1	0	0.6	7.8	0	0	0	2.5	0	0	0.8	0	0	0			
p5(L5/6)	L1		5658	10.2	6.3	0.1	1.1	0	0	0.1	0	0	0.1	0	0	0	0	0	0	0	78	0	4.1			
b5		0.6	2981	0	45.5	2.3	0.2	3.3	2	7.5	0	1.1	11.6	1	0.9	1.3	2.3	2	0	11.4	7.2	0.1	0.4			
nb5		0.8	2981	0	45.5	2.3	0.2	3.3	2	7.5	0	1.1	11.6	1	0.9	1.3	2.3	2	0	11.4	7.2	0.1	0.4			
p6(L4)	L6	13.6	3261	0	2.5	0.1	0.1	0.7	0.9	1.3	0	0.1	0.1	4.9	0	0.3	1.2	13.2	7.7	7.7	55.7	0.6	2.9			
p6(L4)	L5		1066	0	46.8	0.8	0.3	3.4	2.1	7.7	0	0.6	11.9	1	0.6	0.8	2.3	2.1	0	11.7	7.4	0.1	0.4			
p6(L4)	L4		1915	0	2.8	0.1	0.7	12.2	3.8	4.2	5.2	1.5	0.8	0.1	0	0	33.7	0	0	5.9	26	1.8	1.4			
p6(L4)	L2/3		121	0	63.1	5.1	4.1	0.6	7.2	8.1	0	0.6	7.8	0	0	0	2.5	0	0	0.8	0	0	0			
p6(L5/6)	L6	4.5	5573	0	2.5	0.1	0.1	0.7	0.9	1.3	0	0.1	0.1	4.9	0	0.3	1.2	13.2	7.8	7.8	55.7	0.6	2.9			
p6(L5/6)	L5		257	0	46.8	0.8	0.3	3.4	2.1	7.7	0	0.6	11.9	1	0.6	0.8	2.3	2.1	0	11.7	7.4	0.1	0.4			
p6(L5/6)	L4		243	0	2.8	0.1	0.7	12.2	3.8	4.2	5.2	1.5	0.8	0.1	0	0	33.7	0	0	5.9	26	1.8	1.4			
p6(L5/6)	L2/3		286	0	63.1	5.1	4.1	0.6	7.2	8.1	0	0.6	7.8	0	0	0	2.5	0	0	0.8	0	0	0			
p6(L5/6)	L1		62	10.2	6.3	0.1	1.1	0	0	0.1	0	0	0.1	0	0	0	0	0	0	0	78	0	4.1			
b6		2	3220	0	2.5	0.1	0.1	0.7	0.9	1.3	0	0.1	0.1	4.9	0	0.4	1.2	13.2	7.7	7.7	55.7	0.6	2.9			
nb6		2	3220	0	2.5	0.1	0.1	0.7	0.9	1.3	0	0.1	0.1	4.9	0	0.4	1.2	13.2	7.7	7.7	55.7	0.6	2.9			
						brainstem sensory																				
TCs		0.5	4000	31	0	7.1	0	0	0	0	0	0	0	0	0	0	23	8	0	0	0	0	0	5	0	25.9
TCn		0.5	4000	31	0	7.1	0	0	0	0	0	0	14	3.8	0	0	0	13.2	0	0	0	0	0	0	5	25.9
TIs		0.1	3000	13.5	0	48.7	0	0	0	0	0	0	0	0	0	0	9.8	3.3	0	0	0	0.4	0	24.4	0	0
TIn		0.1	3000	13.4	0	48.7	0	0	0	0	0	0	5.8	1.6	0	0	0	5.4	0	0	0	0	0.6	0	24.4	0
TRN		0.5	4000	40	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	10	10	0	0	10																								
