# Taken from CoCoMac database (www.cocomac.org), the distance between two areas is taken to be the Euclidian distance between the center points

	V1	V2	V3	VP	V3A	V4	VOT	V4t	MT	FST	PITd	PITv	CITd	CITv	AITd	AITv	STPp	STPa	TF	TH	MSTd	MSTl	PO	PIP	LIP	VIP	MIP	MDP	DP	7a	FEF	46
V1	0	7.669	10.407	14.918	9.502	20.718	20.303	15.964	17.943	26.424	22.552	25.953	29.645	32.295	35.085	34.961	35.125	34.287	20.186	15.843	13.643	19.724	9.591	4.85	18.223	14.97	12.83	18.891	16.286	21.617	49.116	53.474
V2	7.669	0	16.474	13.736	14.777	20.895	17.106	14.231	14.384	21.005	18.76	22.471	24.545	27.142	29.2	28.516	30.656	28.257	14.413	8.842	12.641	16.43	11.825	9.575	21.31	16.851	16.603	22.103	21.122	23.901	45.706	49.215
V3	10.407	16.474	0	23.687	4.877	22.442	25.983	18.984	22.913	31.308	27.15	30.53	34.973	38.288	40.419	41.632	38.735	39.334	27.715	22.143	14.309	22.533	10.306	6.91	10.294	9.789	6.57	11.819	7.32	15.952	47.503	52.895
VP	14.918	13.736	23.687	0	20.459	17.728	13.018	16.116	14.617	22.352	17.564	19.027	22.84	23.603	28.856	27.448	29.576	29.245	13.457	19.06	20.132	19.786	23.808	18.613	30.033	27.239	27.015	33.187	27.296	28.745	51.906	55.377
V3a	9.502	14.777	4.877	20.459	0	17.567	21.51	14.493	18.613	27.361	22.713	25.917	30.713	33.975	36.425	37.838	34.362	35.509	24.029	20.066	10.876	18.424	12.365	6.34	10.771	10.211	9.6	15.229	7.135	13.167	44.973	50.333
V4	20.718	20.895	22.442	17.728	17.567	0	10.09	8.234	10.327	17.944	11.059	11.679	18.537	21.029	25.161	27.626	20.793	25.326	17.386	22.325	14.327	11.572	26.92	20.335	23.275	23.019	25.788	30.957	20.716	16.331	39.627	44.463
VOT	20.303	17.106	25.983	13.018	21.51	10.09	0	8.56	4.818	11.18	4.921	6.234	11.265	13.231	18.04	18.888	16.895	18.446	7.866	16.795	15.495	9.847	26.745	21.263	27.825	25.568	28.107	33.619	26.509	23.356	40.303	43.702
V4t	15.964	14.231	18.984	16.116	14.493	8.234	8.56	0	4.928	13.569	8.314	11.721	16.38	19.794	22.352	24.334	20.079	21.763	12.551	14.326	7.395	5.247	20.682	15.123	19.375	17.463	20.624	25.78	18.585	15.32	36.802	41.194
MT	17.943	14.384	22.913	14.617	18.613	10.327	4.818	4.928	0	9.873	4.622	8.434	12.241	15.386	18.373	19.747	17.313	18.035	7.972	13.142	11.077	5.603	23.102	18.071	23.826	21.285	24.249	29.486	23.294	20.105	37.359	40.99
FST	26.424	21.005	31.308	22.352	27.361	17.944	11.18	13.569	9.873	0	7.182	8.966	5.502	9.658	9.121	11.736	10.308	8.257	9.915	15.445	17.619	9.616	29.692	26.19	30.151	27.276	31.187	35.525	31.148	26.223	31.943	34.145
PITd	22.552	18.76	27.15	17.564	22.713	11.059	4.921	8.314	4.622	7.182	0	4.247	8.246	11.54	14.737	16.873	12.894	14.759	8.946	16.263	14.647	6.83	27.529	22.594	27.173	24.968	28.408	33.389	26.815	22.225	35.478	38.792
PITv	25.953	22.471	30.53	19.027	25.917	11.679	6.234	11.721	8.434	8.966	4.247	0	7.188	9.4	13.999	16.368	11.076	14.765	11.282	20.27	18.517	10.65	31.515	26.255	30.649	28.823	32.239	37.281	29.877	24.757	36.529	39.658
CITd	29.645	24.545	34.973	22.84	30.713	18.537	11.265	16.38	12.241	5.502	8.246	7.188	0	4.415	6.947	9.555	7.844	7.951	11.327	20.012	21.817	13.426	34.072	29.947	34.43	31.883	35.585	40.245	34.727	29.504	34.538	36.404
CITv	32.295	27.142	38.288	23.603	33.975	21.029	13.231	19.794	15.386	9.658	11.54	9.4	4.415	0	7.452	8.228	9.696	9.616	13.011	23.096	25.666	17.467	37.363	33.102	38.409	35.819	39.231	44.11	38.343	33.361	37.88	39.278
AITd	35.085	29.2	40.419	28.856	36.425	25.161	18.04	22.352	18.373	9.121	14.737	13.999	6.947	7.452	0	6.067	8.435	2.826	16.236	23.084	26.696	18.49	38.418	35.178	39.001	36.179	40.2	44.35	40.125	34.51	32.576	33.06
AITv	34.961	28.516	41.632	27.448	37.838	27.626	18.888	24.334	19.747	11.736	16.873	16.368	9.555	8.228	6.067	0	13.991	7.36	15.098	22.719	28.696	21.169	38.69	35.777	41.462	38.086	41.465	45.913	42.363	37.911	37.909	37.969
STPp	35.125	30.656	38.735	29.576	34.362	20.793	16.895	20.079	17.313	10.308	12.894	11.076	7.844	9.696	8.435	13.991	0	9.194	18.746	25.622	25.029	16.375	38.804	34.605	36.377	34.661	39.157	43.213	37.065	30.035	29.254	31.135
STPa	34.287	28.257	39.334	29.245	35.509	25.326	18.446	21.763	18.035	8.257	14.759	14.765	7.951	9.616	2.826	7.36	9.194	0	16.194	21.57	25.42	17.504	36.968	34.104	37.481	34.548	38.707	42.606	39.004	33.41	30.642	31.123
TF	20.186	14.413	27.715	13.457	24.029	17.386	7.866	12.551	7.972	9.915	8.946	11.282	11.327	13.011	16.236	15.098	18.746	16.194	0	12.037	16.994	12.178	25.442	21.646	29.867	26.319	28.516	33.821	29.643	27.666	41.147	43.571
TH	15.843	8.842	22.143	19.06	20.066	22.325	16.795	14.326	13.142	15.445	16.263	20.27	20.012	23.096	23.084	22.719	25.622	21.57	12.037	0	12.623	13.417	16.454	15.74	23.195	18.363	20.386	24.658	24.943	24.883	38.986	41.699
MSTd	13.643	12.641	14.309	20.132	10.876	14.327	15.495	7.395	11.077	17.619	14.647	18.517	21.817	25.666	26.696	28.696	25.029	25.42	16.994	12.623	0	8.724	15.018	10.833	13.045	10.327	14.175	18.795	13.991	12.344	35.715	40.443
MSTl	19.724	16.43	22.533	19.786	18.424	11.572	9.847	5.247	5.603	9.616	6.83	10.65	13.426	17.467	18.49	21.169	16.375	17.504	12.178	13.417	8.724	0	22.814	18.443	21.01	18.78	22.872	27.333	21.638	16.873	32.244	36.264
PO	9.591	11.825	10.306	23.808	12.365	26.92	26.745	20.682	23.102	29.692	27.529	31.515	34.072	37.363	38.418	38.69	38.804	36.968	25.442	16.454	15.018	22.814	0	7.154	14.878	10.474	7.077	11.399	15.989	22.199	47.074	51.398
