#Taken from Cocomac database (www.cocomac.org), the distances between any two voxels of two areas is computed, binned in a histogramm and the median of the distribution is taken as the inter-areal distance

	V3	FST	PO	PITd	1	Ri	2	FEF	3a	3b	45	V3A	AUD	MT	13	25	L	RL	Pall	Pro	PaS	TF	AITd	AITv	36	ER	35	MIP	PS	24	TH	23	6	29	7b	STPp	46	S	MSTl	DP	LIP	SMA	MDP	7a	VIP	9	5	4	PIP	V4t	CITv	Ig	V4	PrS	CM	SII	11	32	10	MSTd	12	Id	30	G	PA	14	AI	CA1	PITv	PIR	CITd	VOT	V2	V1	VP	STPa	MW	[???]	[??]	CA3	PAC
V3	0	28.8270740855	14.6198797098	27.3913078367	33.1709503113	25.1355655881	31.4045449181	49.9844489411	31.3582694694	32.0310794958	54.4038230666	8.1395887285	27.749612948	15.9317644398	50.2260194569	49.8158647194	34.1387780997	35.1470454026	44.8830613035	46.7312930885	33.3798293482	27.4156026722	43.3048139432	41.1430417978	46.3825608325	45.9465103446	50.7733539768	16.8659797194	19.9693297226	37.8820773197	27.5233429157	24.6801863015	44.8784922587	19.6781022054	27.2715822841	31.6863797714	55.8924498335	32.6259262113	22.5914109724	15.0868380972	19.3096593178	40.6233662392	21.9668338797	19.8713932254	18.0693321232	55.3872540842	25.2621375163	38.0187322835	10.6321589902	17.0038254859	36.0372523303	36.5082609145	18.5240177597	30.554314692	27.9104866377	34.5230510156	52.8583763807	56.6919803762	61.7594291765	19.4118126739	52.4555109226	40.6001731416	17.6727661003	44.9584026931	31.9661309904	56.1274023959	27.7970358429	31.738157251	30.3581734148	45.6961610774	34.3053173156	26.9280027405	17.8342937112	14.5536901615	20.8180996949	40.2417049492	nan	nan	nan	34.6742082746	42.8223344978
FST	28.8270740855	0	29.7746530402	10.9382834484	25.674239452	15.0628680956	24.9078089605	30.4858132897	23.6428925816	24.1320574191	32.5832450817	25.5810478817	14.0612700453	14.1700382029	28.0452851475	29.6344463889	8.6916796407	8.6085245239	22.6373991392	22.5842047014	15.6919771732	12.7150607706	15.5171926085	14.3434658067	18.9768738372	20.9783121877	23.0880723604	30.5996936442	14.0288114863	28.5221116705	14.5631618824	28.0558184837	29.7427533239	20.995245256	21.4840981935	12.3545727333	35.9803326573	12.4904566804	8.7663694517	29.6329023026	26.2497978041	31.3903639742	34.2015219601	24.7054939569	23.8093813805	38.7773668108	27.6568831929	27.5937682901	24.5576067223	15.7061458128	11.8374536739	11.9323711314	19.1752828406	14.3482286358	9.8930704498	18.4679188288	30.6888077329	36.9274471833	41.9445130595	16.5308212623	30.0254129258	17.3324707282	25.7136207927	22.2140330713	9.8381124165	35.3814818588	9.4490954963	10.3153365475	11.1757905525	19.8078408233	9.0368998112	12.8113390136	28.8822800596	33.689975325	20.2685925416	12.1620902089	nan	nan	nan	9.8981562067	18.9509262854
PO	14.6198797098	29.7746530402	0	30.6022812036	31.8825702147	25.7022412195	30.016608249	47.9426400739	26.9545348332	29.6225206944	52.934475968	14.9705058178	29.0848451149	19.0678352327	47.1608972788	45.9608108088	34.8783881158	35.7016288103	41.6220934707	44.6796153176	32.2470896545	27.9912038064	43.8566311968	41.4001733787	45.9394168879	44.4758425949	49.6396884291	6.8937571535	17.5675989424	32.8826160327	26.1913164222	16.4452793114	42.2744610336	13.6581803185	28.0177397738	32.9146839359	53.3325788846	31.7794501659	24.0130735042	18.9046529628	19.4870867468	36.1815336494	10.0291207541	20.9237719928	15.9975831036	51.8173909398	17.4264208626	35.4276008209	9.4822555021	21.2798871676	37.6028837175	36.8239407868	24.5549073487	29.5197923949	29.059665573	34.830319758	50.3350488799	52.5737227133	58.1183225308	20.5570622845	50.6300512403	40.2326425171	8.6285525461	44.4749520754	32.2997795906	52.2417884006	28.2427134618	31.4365702524	32.9399670266	43.7797693051	35.8888995972	29.9952946595	23.8082959291	21.460555904	25.2434895376	40.3775988419	nan	nan	nan	34.3490226375	40.4993213511
PITd	27.3913078367	10.9382834484	30.6022812036	0	32.5572163051	20.6214671946	31.051395653	39.898549865	30.5340102061	31.0681607419	42.3971872085	23.5457010493	20.8020346402	13.1022767764	37.6458639533	38.7161383635	18.2001474211	18.1342750694	32.14379311	31.9849531418	21.1429968425	15.7569201985	19.7155651136	19.0780493199	26.0389763733	28.7426403766	30.5067169581	31.4025732944	18.151072471	35.4134050424	19.1737770454	31.5458031035	38.0583074961	24.7219433	26.2226101108	20.2160048425	45.3772915018	18.0947840884	12.0770073113	28.2458290677	27.9902573556	38.6471132996	35.9054162556	26.4735400554	25.660068342	47.8651106857	30.7500067236	34.9537869572	24.8218795289	11.6365606066	12.6766317785	21.5275062038	14.1272227945	19.438342455	16.8774482146	26.4891501993	40.4152026422	46.366262313	51.0431960687	18.6736219167	39.8843080057	26.9482391666	28.2493416661	31.7634999413	18.6214061586	44.9862123999	16.8578912069	16.0973255608	8.266677361	28.7432866663	10.3543842475	8.5821308855	27.3110914098	31.5661778981	17.8274055259	20.2189297505	nan	nan	nan	17.186385775	27.7969530443
1	33.1709503113	25.674239452	31.8825702147	32.5572163051	0	13.5426395892	11.5923662041	28.8751942979	13.516447927	11.7869505159	32.2729247139	29.4531103103	23.9057215668	24.7979943135	32.0591540955	33.595932895	25.2055069356	23.924912693	30.3287759374	29.3367743247	37.5501033369	33.3149908872	37.167770281	36.8831511459	38.0169722448	38.9152481419	39.6677610043	28.4589406301	26.1629246085	23.8756351974	32.8316018757	21.3222040264	24.9827313047	27.0804168695	14.2502836829	27.5433350374	34.7770908567	34.7470196136	22.4492562255	28.627005587	22.1914930083	23.6535918768	28.7097209601	22.3532780324	20.4805071429	34.6043029129	17.342305449	18.6256562876	27.4099141009	27.5222030907	35.6213399945	20.9124765065	33.2663167778	35.5658028557	20.2754984307	15.1658502943	32.1144088283	38.1840616642	41.3926644488	21.4979709093	31.0174529607	20.3208873963	27.8831955232	23.3291684793	18.2997257535	37.675412253	18.3673142874	32.609311664	34.2898255141	32.3387788097	33.603163502	34.3010146403	39.6266599505	41.3164139401	36.8910552466	31.2096664797	nan	nan	nan	31.8764643157	33.7940897784
Ri	25.1355655881	15.0628680956	25.7022412195	20.6214671946	13.5426395892	0	12.1536930708	26.7713041183	13.1965038342	12.9117928524	30.6913445915	21.2109783424	12.9368621014	14.3809332103	28.6488455401	29.6147832165	16.1379457885	16.157836207	25.030619047	25.0427330334	27.1073679407	22.0767687578	29.0025443907	28.0336876393	30.2370579226	30.9353026148	32.9907878428	24.5546537709	16.0563742247	20.2865741242	21.7433838946	19.4115892348	23.0637341025	19.1365980505	7.9604402935	16.5266225536	32.812074527	24.9409935913	10.6644070312	22.4920377249	15.5897497393	22.6779335849	27.2034352473	15.2663742214	14.6687688012	33.7249702694	18.2240344924	18.5027803723	19.4398316561	16.6387592639	25.5781558663	14.9887696403	22.5437626897	24.3821911209	9.5699162387	10.2849577487	30.0906659639	35.5608060265	39.5996942563	11.3834077757	28.7835549734	17.0961182542	21.6760653477	20.7554944285	10.9737995998	34.7494518613	7.7206079573	22.5992079126	22.9397459832	26.4035165838	22.6693466661	22.6044901365	30.0513707167	32.5108205398	25.6557326913	23.5119074468	nan	nan	nan	22.3752633409	26.0248335995
2	31.4045449181	24.9078089605	30.016608249	31.051395653	11.5923662041	12.1536930708	0	29.864699306	13.4852354708	11.7207825795	33.4779295894	27.5408885575	22.5452631181	22.9755150305	33.330013842	34.6054672245	25.1150561599	24.1142568554	31.3518141858	30.6257309215	36.566287448	31.9850033727	37.3206665831	36.7926838602	38.2869222587	39.2376998011	40.3366652653	26.628101474	24.8265035717	23.5401455748	31.352131204	19.991006345	25.6642335453	25.44694304	12.4707060184	26.4387670582	35.7745883444	34.0980285591	20.8044386143	26.8996148751	20.2437774036	23.7941617268	26.9309790937	20.4131125003	18.4269772131	35.4531308857	15.5561419463	18.979916096	25.0553593551	25.6596176321	35.109762305	21.5411150572	31.2392697433	33.944686156	19.4466077132	15.7297571275	33.5165544796	39.1639842805	42.3605642772	19.5155048954	32.3182639797	21.587710762	26.0266099738	24.4530617531	18.4274252308	38.7805626917	17.644482019	31.971430546	33.3187768629	33.2399815304	32.8129750843	32.9720581903	37.6805685509	39.228873825	35.0330796588	31.5426662997	nan	nan	nan	31.4935492233	34.1980749086
FEF	49.9844489411	30.4858132897	47.9426400739	39.898549865	28.8751942979	26.7713041183	29.864699306	0	25.9932220567	26.8504168863	10.4568263762	45.8452781696	32.327997632	37.9156104951	16.3476981695	19.4131248076	27.6176708202	24.6373512849	20.393682333	17.6201627114	40.1687553942	39.88895397	35.2149555009	36.5420726617	33.445085658	33.6499563465	32.6065450154	45.3591149893	36.4276456957	19.3852632316	39.8067531554	35.8989452432	12.0220670607	38.470077015	29.9642556192	33.3202028202	11.1954304364	37.0276558891	32.441980428	46.2143418237	39.0448726004	18.7342005657	46.7368014302	39.3970127527	36.7632191817	13.6490264932	37.4791123242	20.9892397033	42.8694451502	40.3128338013	38.719457147	20.2535204268	45.7973613706	38.1804306378	28.0887772873	20.7494886378	13.0017450129	18.5778604101	18.6209771161	36.406999026	11.1584457022	14.5776589256	41.9270530256	14.3046031461	22.2129910261	18.4126329094	25.3212667097	35.1710982553	40.4969275891	24.4790027891	36.4524382903	42.0932888134	53.9188431598	57.1438756585	48.2978981669	29.309133257	nan	nan	nan	33.2306634868	27.9987594919
3a	31.3582694694	23.6428925816	26.9545348332	30.5340102061	13.516447927	13.1965038342	13.4852354708	25.9932220567	0	11.9225010666	31.5676997242	27.3838995376	21.7601279839	23.0416592354	30.2480187982	29.77760693	24.2140908816	23.530796318	28.2062051481	28.8701898299	33.5707535916	30.5453802936	36.4797159968	36.1043068923	37.4405849144	37.1061750119	39.4700711079	23.4324079166	23.5234958465	18.1279569437	30.4258108153	16.3391295922	20.598467415	23.3159096534	15.3375228419	25.1752195869	31.2552952656	31.2755528564	20.5363791929	26.461120176	20.9131257115	17.3207892517	23.2217582405	21.6631219358	18.0269947537	29.4206479697	14.8191772474	13.854901614	24.469401427	25.7252641999	33.940964416	21.4849867668	31.0745335128	31.5420113742	18.0817838473	17.3154414367	30.9867694242	33.8610582266	37.0474046297	20.2910529123	30.1811354487	21.7998976612	23.1583488716	25.2278070164	18.0667036761	34.0873438042	16.1775339355	29.2471501202	31.7673510893	31.3504925195	31.3387756583	31.8970657223	37.6063862957	39.3728069985	35.0290902473	30.9146687837	nan	nan	nan	29.7104551289	31.117192623
3b	32.0310794958	24.1320574191	29.6225206944	31.0681607419	11.7869505159	12.9117928524	11.7207825795	26.8504168863	11.9225010666	0	30.3076428918	28.2415499227	22.4563902269	23.6029836933	30.0337824747	31.4786676176	23.5083551302	22.012267289	28.1266606986	27.0778973788	35.5043336485	31.8828129	35.4678072396	35.1112403344	36.3228825172	36.9448213941	37.7860338482	26.460631799	24.6697923671	21.5118413741	31.7353640684	19.1826071476	22.8654990017	25.0645258919	13.7292001547	26.0502351408	32.834289849	32.8280704532	21.4519920294	27.2839002331	21.3379418329	21.0831407062	27.1599186248	21.6080145247	19.2786924033	32.4009226766	16.2839489988	16.5037573085	25.9512401321	26.251659035	34.1600417485	18.7855190758	31.8501661586	33.2894360227	18.9997873347	13.8237664072	29.9561907241	36.0283238552	39.3226222705	20.4613855206	29.239188653	18.2581367813	25.3669034589	21.5334186103	16.6466303818	35.655049827	16.751786708	30.6814376256	32.8278236028	30.2988109312	31.8713952024	32.8913396004	38.4240584914	40.2921200248	35.6899798555	29.3398113206	nan	nan	nan	30.1299820654	31.75037842
