# Data from Markov  N. T. et al (2014). Anatomy of hierarchy: feedforward and feedback pathways in macaque visual cortex. The Journal of Comparative Neurology  522(1)  225–59. https://doi.org/10.1002/cne.23458

INDEX TO FROM S I TOT DIST DENS Monkey lFLN SLN INJ FLN cSLN
228 MT V1 11360 1397 12757 12.5 None M133LH -1.7213724 0.89049149 MT.M133LH 0.01899448 0.39049149
229 MT V2 75554 4679 80233 13.6 None M133LH -0.922768 0.94168235 MT.M133LH 0.1194626 0.44168235
230 MT V3 30730 3552 34282 11 None M133LH -1.2920548 0.89638877 MT.M133LH 0.05104404 0.39638877
231 MT V3A 19434 3076 22510 8 None M133LH -1.4747455 0.86334962 MT.M133LH 0.03351617 0.36334962
232 MT V4 157420 98416 255836 9.4 None M133LH -0.4191593 0.61531606 MT.M133LH 0.380926 0.11531606
235 MT 7A 201 103 304 18.8 None M133LH -3.3442474 0.66118421 MT.M133LH 0.00045263 0.16118421
236 MT LIP 8126 7232 15358 13.2 None M133LH -1.6407863 0.52910535 MT.M133LH 0.02286723 0.02910535
240 MT DP 8240 1596 9836 15.6 None M133LH -1.8343025 0.83773891 MT.M133LH 0.01464527 0.33773891
244 MT STPc 60 1136 1196 19 None M133LH -2.7493898 0.05016722 MT.M133LH 0.00178077 -0.4498327
248 MT FST 11876 29668 41544 8.9 None M133LH -1.2086127 0.28586558 MT.M133LH 0.06185677 -0.2141344
249 MT MST 721 3136 3857 16.2 None M133LH -2.2408713 0.18693284 MT.M133LH 0.00574286 -0.3130671
250 MT TEO 8536 17120 25656 9.7 None M133LH -1.417932 0.33270969 MT.M133LH 0.0382004 -0.1672903
255 MT TEpd 1892 7210 9102 16.6 None M133LH -1.8679842 0.2078664 MT.M133LH 0.01355238 -0.2921335
259 MT TH/TF 1044 5278 6322 14.3 None M133LH -2.0262665 0.16513761 MT.M133LH 0.00941311 -0.3348623
281 MT 8l 1028 500 1528 31.8 None M133LH -2.6429976 0.67277486 MT.M133LH 0.0022751 0.17277486
282 MT 8m 172 250 422 31.7 None M133LH -3.2018085 0.40758293 MT.M133LH 0.00062833 -0.092417
351 TEO V2 3597 242 3839 12.2 None M119LH -1.6087951 0.93696275 TEO.M119LH 0.02461528 0.43696275
352 TEO V3 16083 3006 19089 11.3 None M119LH -0.91223 0.8425271 TEO.M119LH 0.12239676 0.3425271
353 TEO V3A 26 51 77 15.3 None M119LH -3.3065225 0.33766233 TEO.M119LH 0.00049371 -0.1623376
354 TEO V4 26501 13405 39906 9.8 None M119LH -0.591975 0.6640856 TEO.M119LH 0.2558733 0.1640856
356 TEO 7A 0 72 72 24.6 None M119LH -3.3356807 0 TEO.M119LH 0.00046165 -0.5
358 TEO LIP 380 852 1232 20.8 None M119LH -2.1024025 0.30844155 TEO.M119LH 0.00789946 -0.1915584
361 TEO DP 48 134 182 21.3 None M119LH -2.9329418 0.26373626 TEO.M119LH 0.00116696 -0.2362637
366 TEO STPc 0 3 3 24.8 None M119LH -4.7158919 0 TEO.M119LH 1.92357014 -0.5
369 TEO FST 4046 6832 10878 7.2 None M119LH -1.1564641 0.37194337 TEO.M119LH 0.06974865 -0.1280566
370 TEO MST 0 91 91 23.1 None M119LH -3.2339718 0 TEO.M119LH 0.00058348 -0.5
371 TEO MT 1614 2191 3805 9.7 None M119LH -1.6126585 0.42417871 TEO.M119LH 0.02439728 -0.0758212
376 TEO TEpd 12615 23462 36077 10.7 None M119LH -0.6357828 0.34966876 TEO.M119LH 0.23132213 -0.1503312
381 TEO TH/TF 54 2222 2276 14.2 None M119LH -1.8358409 0.02372583 TEO.M119LH 0.01459348 -0.4762741
405 TEO 8l 711 238 949 32.3 None M119LH -2.215747 0.74920969 TEO.M119LH 0.00608489 0.24920969
469 V1 V2 8637 18725 27362 9.3 None M88RH -1.3302136 0.31565675 V1.M88RH 0.75137302 -0.1843432
