Distances provided by Rembrandt																																																																																												
																																																																																												
	F6	V3A	PIP	OPAI	PIR	TEav	ENTO	TEOm	7op	POLE	PBc	F1	F2	1	DP	7B	TEpv	MT	46v	F7	PERI	ProStr	29-30	12	TPt	TEam-a	25	45B	F3	TEad	OPRO	F4	FST	23	Gu	MW	TH-TF	V6A	STPr	46d	24d	8B	13	PBr	MIP	11	V2	AIP	V6	LB	Core	V4	10	24b	TEam-p	24a	9-46v	24c	8l	ProM	45A	IPa	SII	TEpd	9	MST	MB	LIP	44	STPi	5	INS	3	7m	PGa	2	8m	V1	31	F5	TEO	VIP	V4t	V3	7A	32	9-46d	Pi	STPc	8r	SUB	14
F6	0	49.6505367195	43.4441447912	21.404313008	27.6120613586	43.0822253411	41.4392213362	46.3631349834	35.0730730628	36.5782555231	43.6010394013	23.6855825505	10.4701682361	32.3557637344	50.8765094264	37.1724239434	45.5937158545	47.5030517268	12.7939056868	3.8142375888	40.0845551768	42.4210926785	33.0166331816	15.8528146252	41.7260407127	39.6246647471	19.7905340803	19.5460699844	9.1587981487	43.521934871	24.2784643064	15.3167747639	42.2966170114	21.7336533991	27.1127164479	30.2510987939	49.698222585	43.730139233	36.5455042276	9.5477524362	7.9862320127	7.6342658528	16.6915378057	38.9850081015	41.9092571642	13.336529333	51.9107299522	33.1323202472	50.8648085734	40.5263393232	38.0955414075	49.8800960805	17.3125284368	9.8957409319	45.5770396234	10.056336012	16.3187508238	9.3166426729	17.5818335311	27.3424341881	21.5505901393	38.125840203	29.0032383675	48.7479211112	8.8649859871	41.6724580372	34.2606411505	43.5826000484	18.0324657886	42.6056529804	38.8830374109	28.2330285934	25.6679970428	41.7945874379	36.2282150274	32.3171499488	10.0833578693	53.3511661326	33.7264204399	26.4729259528	51.4560081862	35.9970366159	51.6977755219	53.1216791736	41.3478811078	12.4107588212	10.9616438951	32.4393833967	42.1153086746	13.6543520905	41.9692558287	16.6590101987
V3A	49.6505367195	0	10.9104159767	43.0037201655	39.9005273875	43.2402592968	37.8169039026	24.7363745183	21.9227414111	44.5188008585	27.4376618905	31.3868305911	41.9523073791	31.1236210985	13.839750393	26.5146671884	27.1210123819	17.3075857099	53.1566212301	50.373586011	39.6971744497	12.3018767013	18.8211012563	49.4455260304	17.8339225302	36.5944006978	44.8359160498	46.6526143874	42.1481035123	40.6898672491	41.2845377736	36.4049331557	21.8058422035	29.0005431435	45.6231469983	22.2304096662	24.6681584452	9.1329120183	37.1802372063	54.1738057205	42.1248822095	44.1192587161	47.0061609888	38.9780485064	13.4188746682	54.6707776217	19.3443274217	23.5495626568	3.5214192594	34.3689713265	35.1825328915	18.330797897	59.2660649965	44.8774347961	32.2972889301	45.4544960325	50.0217891481	52.2202550313	46.5815376096	45.0208656431	49.3109755623	34.0430817778	32.880516088	29.5938318705	56.5272324014	17.5397713039	38.2874044668	13.3494033373	39.2392334765	29.5504414112	23.8203645329	30.9788062007	29.2428890675	17.2831019626	35.2887802776	38.0459240537	45.7224044642	5.5828130187	19.7763217028	42.132760852	21.8962024879	14.218529372	18.3957843198	17.9240725463	21.5948335905	52.9770999567	50.0794480025	41.6051070986	20.4381427117	45.05930273	31.5393575897	53.2809161374
PIP	43.4441447912	10.9104159767	0	39.8246104004	38.355484396	44.2650278718	39.8418633211	27.8621317286	19.7248156296	44.1746323574	26.1833178873	25.3882401267	35.0692902216	27.1982253733	11.9614789672	23.6222869422	30.1901944836	19.9807394206	48.3923282785	44.1518163839	40.3522738469	14.1259129832	13.212705668	45.424368149	14.0142995557	37.6754518022	41.1182831489	42.5356310802	35.3113895813	42.3762941951	39.0559689157	30.9536017294	24.171984536	22.283882274	42.871235211	18.6748942618	26.6931178637	5.2466071492	37.7227683222	48.9228908443	36.0071088269	38.3313194136	43.2903716037	39.2793665817	7.9064809868	49.7790414419	24.7296160621	20.2097093187	11.0380562238	34.4443029796	35.3937464664	23.135721858	54.3978231267	38.7979252976	34.6943331588	39.604468181	45.7838491851	46.6786465335	42.2530923774	42.4194612368	45.9119413232	35.0999131487	30.6078743755	32.8719527276	50.8105164437	17.0573665415	38.0343443187	2.8705781928	35.440861896	29.7968923869	16.8927900815	29.2447452357	21.8074851334	11.9307230938	35.8497344774	35.7732823412	40.617966892	14.7069562839	12.9079044068	39.2937812373	26.7788647839	7.8334746597	21.0618837334	23.6353107679	16.9876531542	47.675835803	45.1510339109	40.8679803721	19.5711259958	40.2871642288	33.4320959796	48.8458329631
OPAI	21.404313008	43.0037201655	39.8246104004	0	9.2414689052	24.0323820688	22.2698952559	33.5333872535	29.7569397564	17.8122939998	34.7901519086	29.455856422	24.2831788637	29.3239618879	47.1674800615	33.0491107905	30.2965152457	37.9501816994	17.2980088434	22.137099361	20.8179536487	32.314413179	28.5900826617	14.17811687	38.2005529331	21.5956577151	3.6753228503	18.1837365099	22.4934673701	24.9254059935	6.5891088956	18.9388532399	30.0972686267	23.1551212235	16.1528305992	22.0200552215	32.3004089976	39.4155492019	19.4548659197	17.8955573981	17.3629055264	17.9290569918	8.5710007218	22.743185982	39.4905094629	15.7601567738	39.90230718	30.0084063984	44.3641450453	26.0778714416	23.2805863362	37.3849629996	19.4069732508	16.2038741952	29.0984520618	14.7861896129	18.1476144304	16.5021858492	19.7555588201	18.2943409363	18.1910957884	20.7064495783	22.2824578589	33.5473972434	21.9656557241	33.7701762443	17.4666135145	40.084294425	14.0212137849	30.2783351772	41.1522482002	18.6990100872	31.8210558262	40.2964620181	18.5681508636	24.0686029374	18.7825228418	45.445087703	32.0183962917	20.4278261852	39.1996048207	32.5890238756	42.0485899967	41.5271127084	38.4914888034	15.3091548631	19.103689317	14.4950476512	33.9264080295	18.3899030323	24.424855155	13.098001518
PIR	27.6120613586	39.9005273875	38.355484396	9.2414689052	0	15.6417529917	16.9406996746	26.7464605346	26.5837468781	8.9661941645	28.4017376214	30.3947676767	29.1334108967	26.8187658857	44.5896573565	30.0218924597	22.9802724894	32.6648834908	22.608912528	28.1837843416	14.1073294995	29.0896522072	28.9622912892	17.6232255881	34.9378119417	13.0381085551	12.8593533216	18.4805564926	27.1853327383	16.1511384201	3.5504271252	21.0932463947	23.7133961844	25.5291348568	12.9384744535	21.8887316147	25.8758430948	38.0667226721	10.645733017	24.3508406281	22.8479996674	22.5528812089	12.9484933378	14.1197730625	38.7649052594	23.5136815519	35.567022742	27.0996364548	41.6631120871	18.0854911448	15.2086126641	31.3938290295	27.8446189401	23.1583763356	20.8785615309	22.0831887398	21.2755079861	24.0851607805	20.7487789648	15.0799847906	17.8519894341	12.4865590474	19.1189647947	26.1098547802	28.5437187883	29.0330798024	8.843200595	38.6955506026	14.0260644097	22.9976566528	40.9217875999	13.7314224691	33.7930323816	40.528911945	10.1626970226	21.25893991	22.5549289742	42.3410296202	32.9257148166	18.0584338725	32.5431803018	31.223858592	36.7632917882	36.6445070882	35.5278301992	23.5344896547	23.6591574996	5.3235643646	28.8199305627	20.6013213384	17.2423495165	21.7514942344
TEav	43.0822253411	43.2402592968	44.2650278718	24.0323820688	15.6417529917	0	9.9472300047	27.7877488309	36.6444065043	9.0406647029	34.0863082886	43.4374174306	44.0656269804	38.907008356	49.482102692	41.0138671513	19.929291279	35.1138971165	38.2506655198	43.7365395781	5.9018167017	32.1704989857	36.8703858124	33.2495199925	41.2977333367	11.1450339787	27.2886808972	33.5226307134	42.1975331791	8.1752122194	19.192180117	35.8263013238	25.3039988407	37.694295902	27.9817696688	29.9043802499	19.9032488267	43.4169312106	13.7222752788	39.9925936198	37.8860076404	38.0661805386	28.5902463296	19.7439753128	45.3884905648	39.0583588591	35.6491342769	37.5947604793	44.9507014458	23.880032589	21.1233281154	29.8436676548	43.1047183046	37.8994034707	18.5985843235	36.86732323	36.7852776832	39.5896820726	36.0679012406	30.1232800058	32.8299657311	11.6163292175	32.4199592101	23.2329272047	44.18547178	34.4145361667	15.8149514332	45.5003832918	29.1632198376	27.7367609624	50.1969157885	24.495354489	45.3751836691	47.9748568429	11.2342527577	35.7076102447	38.1590721544	45.2264286647	41.5326606701	32.8398029842	31.8489909517	38.7483097445	38.138384268	35.1445165208	44.5531736275	38.913109258	39.3009104913	12.7592920501	34.2266034325	36.0524219313	12.3383438393	36.7874549417
ENTO	41.4392213362	37.8169039026	39.8418633211	22.2698952559	16.9406996746	9.9472300047	0	26.7446010503	33.4470667154	13.5356776723	33.8655294159	40.2159745281	41.0010637124	36.9578826687	45.6973797509	38.4411386949	18.7167152732	32.6560555635	38.3588400542	42.3196541153	4.5082564524	26.2853060898	31.4526318683	33.9785408166	38.3911087218	14.36335379	25.3288209585	34.8119341753	39.3585399342	14.5872926557	20.1110154222	33.7252734467	23.9065121352	32.9720734124	29.4580097722	24.46619501	13.9157192101	38.7615181576	16.2301255579	39.4553494158	35.4486405086	36.6892923639	28.5275162668	22.6038357624	40.6631533639	37.5306955635	29.7427603399	34.7871910412	39.3452528294	25.510571871	23.1651825738	26.0756198565	41.2008712912	35.421126919	20.4087547819	34.5342747098	37.5939389936	37.9402910071	36.6279360682	31.5995201093	34.3303922518	13.0975079218	31.7647799101	24.1745799458	43.4377525272	31.7968989147	18.8878762438	40.9111669584	29.1889077237	28.0828359737	45.4526730857	24.1562534593	40.4843102166	42.9310805584	13.0925690819	35.931499191	37.497504157	39.8500822481	36.0944754303	33.5805363863	30.0937335392	34.0384937893	36.5086142421	29.8730995615	41.1350660117	37.0939698696	39.1755122139	16.4200222562	32.4990073201	36.031589808	10.0794936107	34.8836079282
TEOm	46.3631349834	24.7363745183	27.8621317286	33.5333872535	26.7464605346	27.7877488309	26.7446010503	0	21.8995199375	29.933837261	21.2320364206	33.4870426886	41.9281765845	29.866173571	26.7121738814	27.7609894122	9.9668974217	9.3135040781	45.3905856636	46.7814432177	26.3969975021	18.5206991672	27.3949006195	40.158398151	22.824037511	18.5016592048	36.7176199783	38.371349141	41.2943754503	21.9477482838	29.2678286888	32.8723544644	4.0665179719	31.295341736	35.0947191757	23.8842539145	17.7793083381	28.2200109908	20.4281968963	47.3674464895	39.1997743627	39.8211850396	37.3603031875	23.3067591225	30.9843235711	47.3394559348	20.8884045817	24.0660082013	27.1842886172	21.2064832984	20.485851232	11.8583204656	51.8315288693	41.6927030097	10.1600033213	41.5993161031	41.9387026439	46.5457700442	38.6722693357	35.3811858691	38.9262884124	17.2771676934	27.2627513569	7.9377522847	50.7473751816	15.5453839821	22.500345002	28.969291718	30.773388938	19.3419060272	35.1004701794	20.1690879835	36.0008618101	34.3951060224	19.069856055	33.2861188545	39.9470437968	26.2097048476	30.9519329684	33.720653104	8.5667288346	23.8943148662	11.5339578894	19.2842561585	27.031535726	46.8990575715	43.5055589964	26.4626792148	16.8818060521	37.9150160929	16.6651074396	45.7384041636
7op	35.0730730628	21.9227414111	19.7248156296	29.7569397564	26.5837468781	36.6444065043	33.4470667154	21.8995199375	0	33.9140017819	18.4827161601	18.6697320951	28.9973408881	11.804151772	23.8719664038	6.1465860066	24.7022507518	19.8292683339	36.1060351857	35.287834779	33.4758244468	18.6861599507	19.0055779796	31.574713882	10.7714676324	28.6975765048	32.0617567932	28.6055076642	28.9599856243	33.7781413478	26.7762751076	20.1724940629	17.8330019656	19.5561558092	25.5420647342	17.878034652	26.4551239285	21.4625864301	26.8297912944	38.1251916881	28.0018008579	28.6198278355	30.9430113534	27.8955863981	22.0428345379	39.5729265089	26.1211989342	4.5610231512	24.6978029075	23.9889773415	24.8036673708	23.324336436	44.6266653707	31.7148550456	27.7858789488	32.234957859	32.227015144	37.5886305249	28.7475356959	24.6964876597	30.7841236126	26.1220378512	12.3538161653	26.7791208838	40.6462408337	12.3854297116	25.6564993962	19.2905496529	21.0402351739	20.7185275629	21.6393187937	14.9237617831	23.0472654684	24.5676195049	26.0753040887	17.1015824844	29.2021091057	25.7341318935	20.8811928967	21.6191985341	25.2361963867	13.6381916516	23.0295842798	26.4627169037	10.1552632658	38.9389258065	33.1497234401	28.8624053355	13.7517519643	27.8396724044	27.1925970484	39.0624165971
POLE	36.5782555231	44.5188008585	44.1746323574	17.8122939998	8.9661941645	9.0406647029	13.5356776723	29.933837261	33.9140017819	0	33.2824678016	38.835059041	37.9221087644	34.7866535848	50.0855991137	37.8356540799	24.0286098074	36.8905708683	31.5751066925	37.1499785061	9.4184201449	33.3507069034	35.1129184094	26.5894197526	40.877995285	12.3879086706	21.4301784162	27.2363786368	36.1376243643	12.4465540693	12.5166212898	29.8312533602	27.1563834424	33.286128315	21.5875018458	27.7609634863	24.1473385013	43.5033445474	11.694894822	33.3170347926	31.6977609147	31.4925436775	21.9146875023	16.396188537	44.7950473401	32.4798757164	39.0481871123	34.6292357772	46.0978062449	21.4848991873	18.6398391056	33.6974449257	36.7414684833	31.9532843593	20.9875153232	30.9417759677	30.2417021506	33.051354945	29.5737347386	23.7290121829	26.497668282	13.0849225122	27.2487785218	26.5551617889	37.5099129528	34.3965008706	12.1395366387	44.9267368595	22.7907347484	27.2167422651	48.1950500675	20.9515128751	41.5490809905	46.8266737302	11.1492755038	29.7370394989	31.4878711759	46.6242636071	39.4736008092	26.6858020703	35.173069013	37.6478883058	40.5894854302	39.3929202343	42.858085103	32.5006838192	32.6253516641	6.3798503667	34.2154850695	29.4704764669	16.6766535447	30.4242051204
